feature,mean_importance,fold_occurrences
DPYD,0.0005958999739959836,5
XYLT2,0.0005955023341812193,5
CACNA1F,0.0005947951169218868,5
CASP10,0.0005933233187533915,1
POM121,0.0005927974358201027,5
POU2F1,0.0005924117867834866,2
VIM,0.0005910884588956833,5
SH2B1,0.0005910829640924931,5
INHBB,0.000590126495808363,1
CUL4A,0.0005896330306616923,3
DNMT1,0.0005894547328352928,5
PRIM2,0.000587858259677887,2
BUB1,0.0005876086070202291,5
ABR,0.0005858504213392734,5
PPRC1,0.0005856146686710417,5
DYRK1A,0.0005853456328622997,5
TSC2,0.0005848394823260606,5
XDH,0.0005840186204295605,5
LAMA4,0.0005825419095344842,5
MMP2,0.0005807839799672366,5
EPHB2,0.0005804432323202491,5
CDK5RAP2,0.0005797189951408654,5
PSMD1,0.0005791850970126688,5
PTPN14,0.0005788839887827634,5
GYS1,0.0005775672732852399,5
CR1,0.0005737859581131488,5
KIF4A,0.0005737614759709686,5
NIN,0.0005732543300837279,5
INPPL1,0.0005730493809096515,5
PEX1,0.000572794210165739,5
ACKR1,0.0005726499774027615,5
CEP72,0.0005716500018024817,4
CNTRL,0.0005705622083041817,5
sample__aa_S__event_FS__count,0.0005701779737137258,5
MCM5,0.0005697532033082098,4
ITGAE,0.000569738174090162,5
POLE,0.0005691163300070911,5
GREB1,0.0005670824844855815,5
KAT2A,0.000567053270060569,1
NOS1,0.0005653545435052365,5
ARHGEF7,0.0005627475795336068,5
NEDD9,0.000562647427432239,5
CALCR,0.0005589081789366901,5
LRP1,0.0005588197614997626,5
EZH2,0.0005586532584857196,5
AOX1,0.0005565748724620789,5
TGFBR3,0.000555819779401645,5
AKT2,0.0005556794320000335,5
ATP4A,0.0005553261609748006,5
PRDM4,0.0005537004326470196,2
HSD3B1,0.0005535082542337477,5
CNOT4,0.0005524559528566897,5
GBE1,0.0005522452527657151,5
F5,0.0005516852019354701,5
LTBP2,0.0005513413285370916,5
TMCC2,0.0005509597132913769,5
CTNND1,0.0005508257308974862,5
SPTBN2,0.0005503937252797186,5
SYNPO,0.0005502340791281313,5
SMTN,0.0005492527736350894,5
COL4A1,0.0005485154571942985,5
DAB2,0.0005473711411468684,5
MADD,0.0005456757848151028,5
KIFAP3,0.0005445159506052733,5
CROT,0.0005441422341391444,5
NCAPH,0.0005434498216345673,4
TNRC6B,0.0005427175725344569,5
DSC1,0.0005424061673693359,5
PHKA2,0.0005419094872195273,5
EIF3B,0.0005417315813247114,5
CAD,0.0005415172199718654,5
ALDH1L1,0.0005392146296799183,5
KIF5A,0.0005380911286920309,5
MSN,0.0005379945272579789,5
ABCC2,0.0005375116714276373,5
THSD4,0.0005363734555430711,5
RAD50,0.000535242137266323,5
RBL1,0.0005348331527784467,5
CENPJ,0.0005344371253158897,5
STEAP4,0.0005331390741048381,5
MPO,0.0005329498322680593,5
LIG1,0.0005321309872670099,5
NCAN,0.0005310366861522198,5
RAPGEF3,0.0005286231637001038,5
OAS2,0.0005269274115562439,5
KNTC1,0.0005266984459012747,5
PROS1,0.0005255413067061454,5
CPT1A,0.0005243931460427121,5
OGDH,0.0005239284480921924,5
ADAMDEC1,0.0005238245124928653,5
CACNA1A,0.000523777020862326,5
NF2,0.00052339358565708,3
NR1H4,0.0005230356473475695,5
